iter	RMSE
0	0.7229214715
1	0.7150886456
2	0.7066709923
3	0.6994319271
4	0.6923794271
5	0.6858974606
6	0.6794528445
7	0.6731013653
8	0.6666396292
9	0.661447728
10	0.6561943562
11	0.6509040119
12	0.6457799983
13	0.6403874755
14	0.6360857732
15	0.6315006274
16	0.6275864917
17	0.6228666624
18	0.6194572396
19	0.6161979223
20	0.6120881897
21	0.6090357613
22	0.6066511092
23	0.6034948956
24	0.600223214
25	0.5975186466
26	0.5948369941
27	0.5919042948
28	0.5891869488
29	0.58640198
30	0.584439254
31	0.582115261
32	0.579558453
33	0.5770191722
34	0.5747745724
35	0.5730040255
36	0.5708718403
37	0.5688535014
38	0.5671019408
39	0.5652638912
40	0.5632208212
41	0.5619108604
42	0.5602401865
43	0.5587071497
44	0.5571160431
45	0.5554596336
46	0.5531501392
47	0.5519963131
48	0.5505061093
49	0.549043371
50	0.5474302819
51	0.5465230934
52	0.5450171691
53	0.5434501565
54	0.5422286708
55	0.5407384949
56	0.5399044351
57	0.5388783271
58	0.5373591521
59	0.5365716568
60	0.535705963
61	0.5341795523
62	0.5332614674
63	0.5320086029
64	0.5309331789
65	0.5296447376
66	0.5286487612
67	0.5273397773
68	0.5263906521
69	0.5245868547
70	0.5232353543
71	0.5224973921
72	0.5216060311
73	0.5199298562
74	0.519007928
75	0.5181864632
76	0.5171887416
77	0.5166413385
78	0.5157699918
79	0.5149568955
80	0.5141302335
81	0.513563512
82	0.5127251638
83	0.5118001655
84	0.51085633
85	0.5092542171
86	0.5083577534
87	0.5076179305
88	0.5070430914
89	0.506364142
90	0.5051444321
91	0.5043384792
92	0.5033699262
93	0.5026736414
94	0.5020306412
95	0.5011802993
96	0.500113992
97	0.498460131
98	0.4979629345
99	0.4971426957
100	0.4963472848
101	0.495770754
102	0.4953580582
103	0.494553948
104	0.4941197839
105	0.4935240176
106	0.492587292
107	0.4920796112
108	0.4915924238
109	0.4912530413
110	0.4908512998
111	0.490019853
112	0.4894065617
113	0.4888729877
114	0.4884313353
115	0.4871675335
116	0.4864088424
117	0.4858102202
118	0.4851279596
119	0.484132206
120	0.4835468135
121	0.4828316129
122	0.4823908258
123	0.4810658714
124	0.4805173348
125	0.4795123317
126	0.4791045499
127	0.4784028457
128	0.4780866551
129	0.4776257743
130	0.4771759336
131	0.4768430679
132	0.4763478886
133	0.4761670722
134	0.475510259
135	0.4751662282
136	0.4742734426
137	0.4739058092
138	0.4734569828
139	0.472646592
140	0.4718111451
141	0.4712748915
142	0.4706490834
143	0.4702285718
144	0.4696499383
145	0.4691481751
146	0.4684814893
147	0.4677005196
148	0.4674099411
149	0.4666585049
150	0.4661564263
151	0.465310371
152	0.464585457
153	0.4641175832
154	0.4633932222
155	0.4628344459
156	0.4622297307
157	0.4616847562
158	0.4608134937
159	0.4605425605
160	0.4596801572
161	0.4589510018
162	0.4587563477
163	0.4580220786
