iter	Passed	Remaining
0	9	9292
1	14	6999
2	17	5941
3	23	5745
4	26	5299
5	30	5106
6	34	4884
7	40	5042
8	43	4815
9	47	4657
10	50	4512
11	55	4575
12	59	4479
13	62	4415
14	66	4368
15	72	4436
16	77	4490
17	82	4490
18	87	4499
19	91	4475
20	95	4471
21	102	4541
22	106	4534
23	111	4538
24	117	4589
25	121	4559
26	125	4540
27	132	4607
28	137	4603
29	142	4597
30	148	4632
31	152	4618
32	158	4652
33	164	4666
34	168	4636
35	173	4658
36	180	4691
37	186	4713
38	190	4706
39	197	4747
40	203	4758
41	210	4800
42	215	4785
43	220	4784
44	227	4827
45	232	4819
46	239	4863
47	244	4857
48	252	4901
49	259	4936
50	266	4951
51	273	4986
52	278	4968
53	283	4966
54	291	5002
55	295	4985
56	301	4984
57	306	4975
58	310	4951
59	317	4976
60	322	4958
61	326	4942
62	332	4943
63	337	4940
64	342	4923
65	346	4909
66	351	4897
67	356	4879
68	360	4869
69	367	4878
70	371	4855
71	376	4847
72	382	4853
73	386	4838
74	391	4824
75	396	4826
76	401	4812
77	405	4795
78	412	4804
79	416	4784
80	420	4768
81	423	4744
82	429	4743
83	432	4719
84	436	4698
85	440	4676
86	444	4669
87	448	4647
88	454	4648
89	460	4652
90	463	4634
91	467	4616
92	471	4601
93	476	4595
94	480	4576
95	483	4555
96	486	4532
97	493	4538
98	496	4522
99	500	4508
100	507	4515
101	511	4506
102	516	4502
103	522	4503
104	526	4490
105	530	4473
106	534	4459
107	538	4450
108	542	4432
109	545	4417
110	551	4414
111	556	4411
112	560	4401
113	567	4407
114	571	4396
115	575	4385
116	579	4371
117	584	4369
118	588	4355
119	592	4341
120	596	4335
121	601	4332
122	605	4317
123	609	4306
124	615	4306
125	618	4293
126	622	4278
127	626	4264
128	631	4265
129	635	4253
130	639	4243
131	643	4233
132	648	4228
133	652	4219
134	657	4209
135	662	4211
136	667	4202
137	670	4191
138	675	4184
139	679	4177
140	683	4166
141	687	4156
142	694	4161
143	698	4150
144	702	4140
145	707	4136
146	711	4129
147	715	4121
148	720	4113
149	726	4115
150	730	4105
151	734	4096
152	740	4101
153	744	4091
154	749	4083
155	755	4086
156	759	4077
157	763	4068
158	767	4059
159	772	4057
160	776	4047
161	781	4040
162	787	4042
163	792	4041
164	797	4034
165	802	4033
166	807	4028
167	812	4022
168	818	4024
169	822	4016
170	827	4009
171	833	4013
172	839	4011
173	843	4005
174	850	4010
175	854	4001
176	860	3999
177	870	4020
178	875	4016
179	882	4020
180	897	4062
181	904	4065
182	909	4059
183	919	4077
184	929	4093
185	936	4097
186	943	4103
187	953	4116
188	963	4133
189	969	4132
190	978	4146
191	984	4141
192	988	4134
193	996	4140
194	1001	4134
195	1011	4149
196	1016	4144
197	1024	4150
198	1031	4152
199	1037	4151
200	1046	4160
201	1054	4164
202	1060	4161
203	1065	4157
204	1073	4164
205	1078	4157
206	1083	4149
207	1089	4148
208	1093	4138
209	1098	4132
210	1105	4133
211	1115	4147
212	1121	4142
213	1125	4134
214	1131	4131
215	1135	4121
216	1140	4113
217	1146	4113
218	1151	4106
219	1159	4112
220	1166	4112
221	1177	4126
222	1186	4132
223	1194	4139
224	1199	4133
225	1207	4135
226	1211	4126
227	1216	4117
228	1222	4116
229	1226	4106
230	1230	4097
231	1234	4087
232	1240	4083
233	1244	4073
234	1248	4063
235	1254	4062
236	1259	4054
237	1264	4047
238	1271	4048
239	1276	4040
240	1279	4030
241	1285	4026
242	1289	4018
243	1294	4009
244	1299	4003
245	1304	3997
246	1310	3994
247	1318	3997
248	1323	3991
249	1327	3983
250	1333	3980
251	1337	3969
252	1341	3960
253	1347	3957
254	1351	3947
255	1354	3937
256	1358	3927
257	1363	3921
258	1367	3911
259	1371	3903
260	1378	3901
261	1382	3895
262	1387	3887
263	1394	3888
264	1399	3882
265	1407	3885
266	1411	3876
267	1416	3868
268	1420	3860
269	1427	3859
270	1432	3852
271	1436	3845
272	1443	3843
273	1447	3835
274	1453	3832
275	1459	3828
276	1463	3819
277	1471	3821
278	1476	3815
279	1480	3807
280	1489	3811
281	1494	3803
282	1502	3807
283	1508	3802
284	1512	3795
285	1525	3807
286	1533	3809
287	1540	3809
288	1548	3808
289	1554	3806
290	1560	3800
291	1569	3804
292	1574	3799
293	1582	3800
294	1587	3793
295	1591	3785
296	1600	3788
297	1604	3780
298	1611	3778
299	1615	3770
300	1623	3770
301	1631	3770
302	1635	3762
303	1639	3753
304	1646	3750
305	1649	3740
306	1652	3730
307	1655	3720
308	1661	3716
309	1665	3707
310	1669	3698
311	1675	3694
312	1678	3685
313	1682	3675
314	1686	3666
315	1690	3660
316	1694	3650
317	1697	3641
318	1701	3633
319	1707	3627
320	1710	3618
321	1714	3609
322	1717	3599
323	1723	3595
324	1726	3585
325	1729	3576
326	1733	3568
327	1739	3563
328	1743	3555
329	1746	3546
330	1751	3540
331	1755	3532
332	1759	3524
333	1763	3516
334	1770	3514
335	1774	3506
336	1778	3498
337	1783	3493
338	1788	3486
339	1792	3480
340	1799	3476
341	1811	3486
342	1821	3489
343	1834	3498
344	1840	3494
345	1850	3498
346	1856	3492
347	1864	3493
348	1873	3493
349	1880	3492
350	1886	3488
351	1892	3484
352	1899	3481
353	1903	3473
354	1907	3466
355	1913	3460
356	1916	3452
357	1920	3443
358	1925	3437
359	1928	3429
360	1932	3421
361	1936	3412
362	1942	3408
363	1946	3400
364	1950	3392
365	1953	3383
366	1958	3378
367	1962	3369
368	1965	3361
369	1969	3353
370	1975	3349
371	1979	3341
372	1983	3333
373	1988	3328
374	1992	3321
375	1996	3313
376	2001	3306
377	2006	3302
378	2010	3294
379	2014	3286
380	2021	3283
381	2024	3275
382	2028	3267
383	2032	3259
384	2038	3256
385	2041	3248
386	2045	3240
387	2050	3234
388	2054	3226
389	2057	3218
390	2061	3210
391	2064	3202
392	2068	3194
393	2072	3186
394	2074	3178
395	2078	3169
396	2083	3164
397	2087	3157
398	2090	3148
399	2093	3140
400	2097	3133
401	2101	3126
402	2104	3118
403	2108	3110
404	2112	3103
405	2115	3095
406	2118	3087
407	2123	3080
408	2126	3072
409	2130	3065
410	2133	3057
411	2137	3050
412	2140	3042
413	2146	3038
414	2150	3031
415	2154	3024
416	2159	3018
417	2162	3010
418	2165	3003
419	2168	2994
420	2172	2987
421	2176	2980
422	2180	2973
423	2183	2966
424	2187	2958
425	2192	2954
426	2196	2947
427	2199	2939
428	2202	2931
429	2210	2930
430	2216	2926
431	2221	2921
432	2225	2914
433	2228	2906
434	2231	2898
435	2235	2891
436	2239	2885
437	2243	2878
438	2246	2871
439	2250	2863
440	2255	2858
441	2258	2851
442	2262	2844
443	2265	2836
444	2270	2831
445	2273	2824
446	2277	2816
447	2280	2809
448	2285	2804
449	2289	2797
450	2292	2790
451	2296	2783
452	2302	2779
453	2306	2773
454	2310	2767
455	2314	2760
456	2320	2756
457	2324	2750
458	2328	2744
459	2334	2740
460	2337	2733
461	2341	2726
462	2344	2719
463	2349	2713
464	2353	2707
465	2355	2699
466	2359	2692
467	2364	2687
468	2367	2680
469	2370	2673
470	2373	2665
471	2376	2658
472	2380	2652
473	2383	2645
474	2387	2638
475	2390	2631
476	2394	2625
477	2397	2618
478	2400	2611
479	2404	2604
480	2409	2599
481	2412	2593
482	2416	2586
483	2419	2579
484	2425	2575
485	2429	2569
486	2433	2563
487	2436	2556
488	2441	2550
489	2444	2543
490	2447	2536
491	2449	2529
492	2453	2522
493	2457	2517
494	2461	2511
495	2464	2504
496	2467	2497
497	2471	2491
498	2475	2485
499	2479	2479
500	2484	2474
501	2487	2467
502	2491	2461
503	2494	2454
504	2497	2448
505	2504	2444
506	2508	2438
507	2511	2432
508	2517	2428
509	2521	2422
510	2524	2415
511	2527	2408
512	2532	2404
513	2535	2397
514	2538	2390
515	2541	2384
516	2545	2377
517	2549	2372
518	2553	2366
519	2556	2360
520	2560	2354
521	2563	2347
522	2567	2341
523	2571	2335
524	2575	2329
525	2579	2324
526	2582	2318
527	2587	2313
528	2592	2308
529	2597	2303
530	2600	2296
531	2603	2290
532	2610	2287
533	2616	2283
534	2620	2278
535	2630	2277
536	2634	2271
537	2642	2268
538	2647	2264
539	2652	2259
540	2659	2256
541	2663	2250
542	2667	2245
543	2674	2241
544	2678	2236
545	2682	2230
546	2689	2227
547	2695	2223
548	2699	2217
549	2705	2213
550	2711	2209
551	2715	2203
552	2720	2199
553	2725	2194
554	2729	2188
555	2736	2185
556	2741	2180
557	2745	2174
558	2753	2171
559	2757	2166
560	2761	2160
561	2766	2155
562	2770	2150
563	2773	2144
564	2776	2137
565	2782	2133
566	2787	2128
567	2790	2122
568	2795	2117
569	2799	2111
570	2803	2106
571	2806	2100
572	2810	2094
573	2814	2088
574	2817	2082
575	2821	2076
576	2824	2070
577	2829	2066
578	2833	2060
579	2837	2054
580	2841	2049
581	2846	2044
582	2849	2038
583	2853	2032
584	2856	2026
585	2860	2020
586	2864	2015
587	2867	2009
588	2870	2003
589	2875	1998
590	2880	1993
591	2890	1992
592	2896	1987
593	2900	1982
594	2907	1979
595	2911	1973
596	2915	1968
597	2919	1962
598	2923	1957
599	2927	1951
600	2930	1945
601	2933	1939
602	2938	1934
603	2942	1929
604	2946	1923
605	2949	1917
606	2953	1912
607	2957	1906
608	2960	1900
609	2964	1895
610	2968	1889
611	2972	1884
612	2976	1879
613	2980	1873
614	2985	1868
615	2989	1863
616	2993	1858
617	2999	1854
618	3003	1848
619	3007	1843
620	3010	1837
621	3015	1832
622	3019	1827
623	3023	1821
624	3026	1816
625	3032	1811
626	3037	1806
627	3041	1801
628	3047	1797
629	3050	1791
630	3054	1786
631	3063	1783
632	3068	1778
633	3072	1773
634	3079	1770
635	3084	1765
636	3088	1760
637	3093	1755
638	3098	1750
639	3105	1746
640	3110	1742
641	3116	1737
642	3120	1732
643	3125	1727
644	3132	1724
645	3137	1719
646	3143	1714
647	3148	1710
648	3152	1704
649	3157	1700
650	3161	1694
651	3165	1689
652	3169	1684
653	3174	1679
654	3177	1673
655	3181	1668
656	3186	1663
657	3191	1658
658	3195	1653
659	3202	1649
660	3207	1644
661	3212	1640
662	3219	1636
663	3223	1631
664	3228	1626
665	3236	1622
666	3241	1618
667	3248	1614
668	3253	1609
669	3256	1604
670	3260	1598
671	3266	1594
672	3271	1589
673	3274	1583
674	3279	1579
675	3283	1573
676	3287	1568
677	3290	1562
678	3298	1559
679	3302	1554
680	3307	1549
681	3313	1544
682	3317	1539
683	3321	1534
684	3325	1529
685	3332	1525
686	3337	1520
687	3341	1515
688	3346	1510
689	3351	1505
690	3358	1501
691	3366	1498
692	3373	1494
693	3379	1489
694	3383	1484
695	3388	1480
696	3393	1475
697	3398	1470
698	3404	1466
699	3408	1460
700	3412	1455
701	3416	1450
702	3422	1445
703	3426	1440
704	3429	1435
705	3434	1430
706	3437	1424
707	3441	1419
708	3444	1413
709	3449	1408
710	3453	1403
711	3456	1398
712	3460	1393
713	3465	1388
714	3469	1383
715	3473	1377
716	3477	1372
717	3482	1367
718	3487	1363
719	3496	1359
720	3503	1355
721	3506	1350
722	3511	1345
723	3515	1340
724	3519	1335
725	3523	1329
726	3528	1324
727	3531	1319
728	3536	1314
729	3540	1309
730	3544	1304
731	3548	1299
732	3552	1293
733	3555	1288
734	3560	1283
735	3563	1278
736	3567	1273
737	3570	1267
738	3575	1262
739	3578	1257
740	3582	1252
741	3585	1246
742	3590	1241
743	3593	1236
744	3597	1231
745	3601	1226
746	3605	1221
747	3608	1215
748	3612	1210
749	3616	1205
750	3620	1200
751	3624	1195
752	3628	1190
753	3632	1185
754	3637	1180
755	3641	1175
756	3644	1169
757	3648	1164
758	3654	1160
759	3659	1155
760	3665	1151
761	3670	1146
762	3676	1141
763	3686	1138
764	3703	1137
765	3708	1132
766	3717	1129
767	3724	1124
768	3731	1121
769	3737	1116
770	3741	1111
771	3746	1106
772	3750	1101
773	3755	1096
774	3759	1091
775	3764	1086
776	3769	1081
777	3774	1077
778	3781	1072
779	3787	1068
780	3795	1064
781	3800	1059
782	3804	1054
783	3811	1049
784	3816	1045
785	3819	1039
786	3826	1035
787	3829	1030
788	3833	1025
789	3836	1019
790	3841	1014
791	3844	1009
792	3847	1004
793	3850	998
794	3854	993
795	3857	988
796	3860	983
797	3863	978
798	3867	972
799	3872	968
800	3875	962
801	3879	957
802	3882	952
803	3886	947
804	3889	942
805	3892	936
806	3896	931
807	3900	926
808	3904	921
809	3907	916
810	3910	911
811	3913	906
812	3919	901
813	3922	896
814	3925	891
815	3931	886
816	3934	881
817	3938	876
818	3942	871
819	3945	866
820	3950	861
821	3953	856
822	3956	851
823	3960	845
824	3965	841
825	3968	835
826	3971	830
827	3974	825
828	3979	820
829	3982	815
830	3986	810
831	3990	805
832	3996	801
833	4000	796
834	4003	791
835	4006	786
836	4013	781
837	4016	776
838	4020	771
839	4023	766
840	4028	761
841	4031	756
842	4035	751
843	4038	746
844	4043	741
845	4047	736
846	4050	731
847	4053	726
848	4059	721
849	4063	717
850	4068	712
851	4077	708
852	4082	703
853	4087	698
854	4092	694
855	4096	689
856	4100	684
857	4104	679
858	4108	674
859	4112	669
860	4115	664
861	4120	659
862	4124	654
863	4127	649
864	4131	644
865	4136	640
866	4140	635
867	4144	630
868	4147	625
869	4152	620
870	4156	615
871	4160	610
872	4163	605
873	4168	601
874	4172	596
875	4175	591
876	4179	586
877	4185	581
878	4189	576
879	4194	571
880	4199	567
881	4203	562
882	4207	557
883	4210	552
884	4215	547
885	4219	542
886	4222	537
887	4225	532
888	4230	528
889	4234	523
890	4238	518
891	4241	513
892	4246	508
893	4250	503
894	4253	499
895	4257	494
896	4261	489
897	4265	484
898	4268	479
899	4272	474
900	4276	469
901	4280	465
902	4283	460
903	4287	455
904	4292	450
905	4295	445
906	4298	440
907	4302	435
908	4308	431
909	4312	426
910	4315	421
911	4319	416
912	4323	411
913	4326	407
914	4331	402
915	4335	397
916	4340	392
917	4345	388
918	4348	383
919	4352	378
920	4356	373
921	4360	368
922	4363	363
923	4366	359
924	4370	354
925	4374	349
926	4377	344
927	4380	339
928	4385	335
929	4388	330
930	4392	325
931	4396	320
932	4400	316
933	4404	311
934	4407	306
935	4410	301
936	4414	296
937	4419	292
938	4422	287
939	4425	282
940	4429	277
941	4434	273
942	4437	268
943	4441	263
944	4443	258
945	4448	253
946	4451	249
947	4455	244
948	4458	239
949	4461	234
950	4465	230
951	4469	225
952	4473	220
953	4476	215
954	4481	211
955	4484	206
956	4488	201
957	4493	197
958	4497	192
959	4500	187
960	4504	182
961	4507	178
962	4512	173
963	4515	168
964	4518	163
965	4522	159
966	4526	154
967	4529	149
968	4532	145
969	4536	140
970	4539	135
971	4543	130
972	4546	126
973	4550	121
974	4553	116
975	4558	112
976	4562	107
977	4565	102
978	4569	98
979	4573	93
980	4576	88
981	4580	83
982	4583	79
983	4589	74
984	4592	69
985	4596	65
986	4599	60
987	4604	55
988	4607	51
989	4611	46
990	4614	41
991	4619	37
992	4622	32
993	4626	27
994	4630	23
995	4638	18
996	4641	13
997	4645	9
998	4651	4
999	4655	0
